ID,Nome,Telemovel,Referencia,Familia de,Nacionalidade,Pedidos,Notas
359,Debbie Harris,+12204810922,Alberto Lowe,3,Brasileiro,,
360,Alexis Thiel,+19893753993,Mr. Gordon Crooks DDS,4,peruana,,
361,Alex Flatley,+16939019929,Lucas Reichel,6,,,
362,Grady Rosenbaum,+15174301301,Armando MacGyver,4,Nepal,menina 7,
363,Georgia Mante,+16115167139,Ernesto Davis,3,Portuguesa,,Girls 5 e 8
364,Phyllis Okuneva,+13396345874,Roland Greenholt MD,,"Ucranianos ",,
365,Dennis Funk,+19014095408,Joel Hand,,Ucraniana,,
366,Marta Lehner PhD,+15396333966,Felicia Crist IV,2,Ucraniana,Calcas de tamnho 32-33 para filha,
367,Eric Hudson,+18823592055,Israel O'Hara,1,Portuguesa,,
368,Eileen Effertz,+12422952943,Mack Fisher,2,Brasileira,,
369,Heather Balistreri,+15128335896,Carol Boyer,2,Brasileiro,,
370,Kent Hammes,+15563910455,Elizabeth Corwin I,3,americana,,
371,Mattie Leuschke,+16049907953,Judy Stanton,,angolana,,
372,Homer Johns,+12708485326,Miss Pat Jakubowski,1,Portuguesa,,
373,Eunice Wisozk,+13154473932,Timmy Fay,4,Nepal,,Boy 1 Girl 11
374,Belinda Marvin,+14416016134,Kenny Haley,5,argilinos,,Avisados
375,Adrian Herman,+13794900009,Frankie Wiegand,3,Brasileira,,
376,Mr. Johnnie Bahringer II,+19249455569,Melba Cormier,2,Brasileira,,
377,Emilio Larkin,+14383430855,Monica Lesch,4,"Portugu�s ",,
378,Adrienne Watsica,+15785964748,Jenny Medhurst,3,"Brasileira ",colch�o de solteiro e casal,
379,Christian Fahey,+18443032946,Randal Heller,1,Columbiano,,
380,Terrence VonRueden-Jacobi DDS,+13335580060,May Kertzmann I,1,Brasileira,,
381,Henrietta Wehner,+19644651217,Glenda Johns,2,brasileiro,,
382,Mark Miller,+18593501069,Bertha Mraz,2,"portuguesa ",,"gr�vida "
383,Hannah Robel,+19849770984,Theodore Smith,4,"Brasileiros ",,Areias S. Vicente
384,Nathaniel Roob,+18368307461,Tommie Emmerich,4,brasileiro,,
385,Bill Donnelly,+12393846727,Monique Botsford PhD,,,,
386,Sylvester Huel,+12243574233,Kayla Oberbrunner-Wintheiser,1,"Colombiano ",,
387,Miss Candace Littel,+16473747911,Renee Watsica,,Columbiano,,
388,Jay Schroeder,+12356114743,Julius Hilpert,4,Angolana,,meninos 4 e 8
389,Eula Murray,+18859537878,Mr. Edgar Sporer,5,Indiana,,
390,Joyce Quitzon,+19149969590,Mrs. Marie Schimmel,4,"Portugu�s ",neta 5,
391,Ms. Claudia Roob,+14042376266,Jean Runolfsson,1,Espanha,,
392,Darnell Fadel,+19559894992,Tony Hand,,,,
393,Mr. Terence Balistreri,+13346837646,Bonnie Sanford,,Brasileiro,,
394,Alejandro Smith,+14724559210,Chelsea Zulauf,4,"Brasileira ",,boy14 girl 10
395,Lana Schowalter,+16374493572,Cary Ebert,,,,
396,Katie Ferry,+17656442137,Randall Metz,,,,Avisados
397,Julian Bergnaum,+18534587852,Don Jaskolski IV,,,,
398,Kate Hammes,+13486849023,Arlene Kunze,4,angolana,,
399,Nora Kulas,+19012146598,Nettie Cummings,,Ucraniana,,
400,Mrs. Amy Gutmann,+14953618384,Angel Rosenbaum III,1,"Afeganist�o ",Quarto at� 300�,"� volunt�rio "
401,Pat Willms,+13525813046,Alonzo Daniel,3,brasileiros,,
402,Elaine Connelly,+19287621382,Bradford Kulas,2,,,
403,Wanda Pfannerstill,+15802732487,Ms. Kim Willms,3,peruana,,
404,Mike Kshlerin,+18818226933,Casey Wyman,4,Portuguesa,,2 meninas 12 e 17
405,Amy Douglas,+15567435241,Carolyn Kertzmann,4,Brasileira,,
406,Lisa Paucek,+18445981765,Lola Kertzmann,1,Espanhol,,
407,Horace Lockman-Roberts,+16013811897,Simon O'Connell,4,Nepal,,girl 8
408,Jose Jacobs,+14418462426,Bobby Dicki III,,Brasileiro,,"Amiga "
409,Kelvin Schroeder,+17764202570,Gabriel Stroman,3,Angolana,,
410,Jerome Will,+19937213959,Mr. Colin White,5,Brasileiros,,
411,Stella Spinka,+18385723915,Cynthia Kuhic,4,Marroquino,,boy 8 girl 3
412,Johnny Dickens-Nienow Jr.,+17678161523,Maxine Hammes,6,Congolesa,,
413,Krystal Grant DDS,+16169174600,Mitchell Dickens-Rolfson,3,colombianos,,
414,Hubert Howell,+12106868868,George Abshire,1,Portuguesa,,
415,Darren Cummerata,+13745418812,Meredith Wisozk,2,"Brasileiro ",,
416,Micheal Goldner Jr.,+18067956848,Janet Casper I,3,"Paquist�o ",,"Girl 1 Boy 16 "
417,Courtney Hyatt,+13225627798,Dr. Joann Morissette-Jerde I,4,"Brasileiros ",,
418,Anthony Schulist,+19359941327,Lucille Kub,,,,
419,Rachel Bruen,+16685184401,Naomi Oberbrunner,1,"brasileira ",,
420,Kevin Little,+12396761996,Vickie Hahn,4,,,
421,Jasmine Wunsch-O'Kon,+13195587959,Dexter Kuhic,3,"s�o Tom� ",,menino 1 ano
422,Felix McClure I,+17559061779,Colleen Zemlak,3,"Nepal ",,bebe 2 meses
423,Kelvin Boehm,+14063713265,Mrs. Iris Padberg,2,brasileira,,
424,Freddie Buckridge,+16514998055,Eric Morar,2,"Brasileira ",,2 ADULTAS
425,Clara Pagac,+13374962022,Olga Welch,1,Portuguesa,,
426,Mrs. Sally Simonis,+14548239325,Peter Renner,1,brasileira,,
427,Jamie Runolfsson,+12782086005,Mae Nitzsche,3,portuguesa,,
428,Roberta Schulist-Bruen,+16768941186,Joe Paucek,3,brasileira,,girl 10
429,Patsy Lehner PhD,+19582128923,Brandy Morissette,,argilinos,,
430,Steven Hilll MD,+14076370530,Erin Schoen,2,Brasileira,,
431,Ginger Rutherford,+17674178948,Ann Schmeler,3,"Brasileira ",,
432,Mr. Rogelio Marks,+13049700935,Alice Mohr,4,Brasileira,,
433,Salvatore Parisian,+12776853515,Marilyn Swift,1,"Colombiana ",,
434,Danny D'Amore II,+16328276647,Mrs. Joan McClure PhD,7,angolana,,
435,Lee Ritchie,+16284336455,Stanley Schimmel,2,"Brasileira ",,
436,Jon Wehner,+13777153387,Rosa Kuphal,2,"Brasileiro ",,
437,Curtis Feeney,+17033926378,Paula Sipes,6,"Angolanos ",,girl 7 e 18 boy 11 e 15
438,Brooke Raynor,+13014232900,Bradford Swaniawski,7,Port./Ang.,Menina 3,"meninos 17, 11, 6"
439,Tony Wiza,+14543812221,Glenda Dickens,4,Brasileira,,
440,Yvette Champlin,+17227681590,Carole Jakubowski,4,Brasileiros,,
441,Joanne Auer,+16475439813,Felipe Bernhard,5,"Uruguai ",,
442,Jeffrey Bauch,+19264562808,Lonnie Denesik,,,,
443,Emmett Wuckert,+18435212478,Johnnie Schultz III,2,Brasileira,,Menino 11
444,Janet Gerlach Jr.,+18997994300,Gilbert Crooks,5,Brasileira,,girl 1 boy 14
445,Nicolas Wiza,+16485686339,Dr. Colin O'Conner,2,"colombiano ",,
446,Clarence Ruecker I,+16204054891,Diana Grady,3,Brasileiro,,
447,Dr. Tara Walker,+13186349535,Shelly Considine,2,brasileira,,menino 10 anos
448,Mrs. Janie Weimann,+13865191849,Nancy Torp,4,portugueses,Tem menina com problemas de saude,
449,Derek Reichel,+15645271452,Pam Cronin,1,"Ucraniano ",,
450,Lila Graham,+19355764820,Eddie Osinski,2,"brasileiros ",,
451,Claude Daniel,+18545964628,Johanna Lynch,,Ucraniana,,
452,Dennis Watsica,+16075945603,Dr. Annie Auer,2,Brasil e Venez,,
453,Faye Swaniawski,+17743529651,Clint Buckridge,3,"Brasileira ",,
454,Gladys Bernier,+14226871028,Andy Champlin,3,Brasileiro,,menina 1a7m
455,Dominick Ritchie Sr.,+19324205475,Kathy Funk,1,"Brasileiro ",,
456,Glenn Swaniawski-Murazik,+14384095377,Annette Schumm,,Brasileiro,,Amigos
457,Ms. Wendy Turcotte,+17349283463,Miss Marlene Bode,,,,
458,Shirley Becker,+18312306107,Ricky Roob,4,angolana,faz muitos coment�rios,
459,Mrs. Beatrice Doyle,+13215125200,Tommy Brakus,,,,
460,Henrietta Bergstrom IV,+18294967425,Norma Brekke,,,,
461,Nicole Harris II,+19122959127,Ronald Hand,1,brasileiro,,
462,Sabrina Wunsch,+14844387558,Dr. Greg Dach,2,Ucraniano,,"Tirou artigos hygienicos, com amigo"
463,Carlos Hills,+17089020393,Sheri Abbott,,Brasileiro,,
464,Gladys Koepp-Rippin,+14517765530,Wallace VonRueden,4,Ucraniana,,
465,Glen Ankunding,+16058801263,Tomas Champlin,2,Ucraniana,,menina 7 anos
466,Tom Kohler,+18584499461,Victor Doyle,3,S�ria,,
467,Dr. Jimmy Baumbach,+13712905899,Eileen Hamill,2,"Fran�a ",,
468,Troy Nolan,+19628518711,Miss Kelly Marks,5,"Brasileira ",,menina 5 e meninao 4
469,Fannie Hartmann,+13935456925,Rosalie Marquardt,2,"Brasileira ",,
470,Mr. David Schimmel,+19565082936,Dr. Henrietta Little,4,"Brasileira ",,memina 7 e menina 12
471,Kellie King,+13249891809,Lucy Zieme I,2,Portuguesa,,
472,Angelo Russel,+18052194747,Dr. Mattie Dietrich,2,"Portugu�s ",,
473,Noah Fisher,+12105990532,Russell Ferry-Lemke,4,"Ucr�nia ",,"menino 8, menina 7 e menina 4"
474,Ernest Padberg,+19136209815,Phyllis Johns,1,"Guatemala ",,
475,Victoria Heidenreich,+14677750506,Dorothy Wilderman IV,4,"brasileira ",,menino 5 e 2 anos
476,Rachel Jacobson,+16734306220,Tommie Ward,7,"portuguesa ",,menino 4 anos
477,Kelley Beier,+12218956507,Roland McClure,5,"brasileira ",,"irm� com mobilidade reduzida "
478,Gregory Schumm,+13483208201,Erik Wiegand,2,"columbiano ",,
479,Brent Balistreri,+16535218755,Ms. Bernadette Carroll,3,"brasileira ",,menina 4 anos
480,Claude Lockman-Bruen,+13484736563,Jessica Padberg,2,"Guin� ",,
481,Frederick Hirthe,+17126530507,Jim Effertz-West PhD,1,"cabo ",,
482,Lydia VonRueden,+19233813215,Terrence Abbott,5,cabo,,
483,Shannon Lueilwitz,+12073097853,Leon Nikolaus,4,"colombiano ",,
484,Israel Davis,+19895616301,Irving Little-Durgan,3,"brasileira ",,menina 8 anos
485,Doyle Reinger,+18349761189,Dr. Rodolfo Marks-Baumbach,1,portuguesa,,
486,Andy Lebsack,+14116089302,Shane Lang-Witting,5,"Guin� ",,
487,Darla Lockman,+16629970748,Joel Nikolaus,,"portugu�s ",,buscar roupa para beneficiario
488,Lucia Pollich,+19557688916,Jerome Von-Hermann,1,,,
489,Jamie Lynch,+15954213193,Jeremiah Cronin,3,Brasileira,,menina 3 anos
490,Ramon Hahn,+16849716975,Brandy Purdy,3,brasileiro,,1 anos
491,Lori Wolff,+17756384509,Tonya Jones,,"Franc�s ",,
492,Dr. Maurice Conn,+12037311296,Johnathan Schuppe,1,,,
493,Sally Rolfson,+13758332888,Ellen Trantow,4,"brasileira ",,
494,Neal Streich,+14767964519,Nick Rowe,5,"brasileira ",,
495,Dr. Lucille McCullough,+18664830331,Juan Skiles,4,"Camer�es ",,
496,Beth Mueller,+16718343116,Alfonso Purdy,1,"Brasileiro ",,
497,Teri Greenfelder,+12807231691,Marion O'Connell,2,"portugueses ",,
498,Frances Braun,+13898132312,Cecelia Olson,4,brasileiro,,
499,Toni Braun,+19796087478,Marcella Metz,1,"brasileiro ",,
500,Charlie Corwin,+16252863578,Jacob Bernier,2,brasileiros,,"sobrinho "
501,Mr. Jimmy Walsh Sr.,+19343466432,Ricky Klein,4,brasileiros,,
502,Cynthia Kovacek,+16787793941,Darrel Gerhold,5,brasileira,,
503,Mrs. Leslie Stehr,+17779364734,Ms. Sonja Hoeger,1,portuguesa,,
504,Chelsea Steuber,+19345500742,Lila Zboncak,1,"portugu�s ",,
505,Loren Streich,+19209360266,Melvin Conroy,3,caman,,
506,Marie Auer,+13074772291,Daisy Wisoky IV,4,"Angolana ",,
507,Rodolfo Borer,+13923338664,Sheila Carter DVM,5,"Bulg�ria ",,
508,Pam Klein,+14056851472,Betsy Borer,1,"cabo-verdiana ",,
509,Frankie Grant,+16312031511,Judith Hagenes,,,,
,William Goodwin III,+15684475115,Shelly Dare,,,,
